Frame,wildtype,wildtype,wildtype,15040,15040,15040,20011,20011,20011,20011,20011,20011
0,325,366,361,401,474,397,282,237,198,241,280,383
1,316,366,359,424,487,407,295,256,224,271,307,409
2,276,324,307,382,434,370,265,230,204,259,288,376
3,236,281,264,332,375,324,225,195,177,233,256,334
4,204,244,228,286,325,278,193,167,156,208,228,293
5,181,214,200,248,280,242,159,146,136,188,204,259
6,164,191,180,212,247,211,135,130,119,171,181,229
7,148,168,160,183,218,190,118,115,106,156,164,205
8,141,154,149,161,193,163,103,103,92,139,148,184
9,141,150,146,141,175,146,94,96,81,125,133,167
10,157,160,160,133,166,141,86,90,74,116,125,158
11,196,185,191,136,170,144,89,93,74,109,122,157
12,252,232,241,153,188,167,105,106,85,111,126,166
13,325,297,311,196,229,203,135,131,108,126,146,192
14,400,373,385,256,285,250,183,169,141,152,176,226
15,473,451,464,321,348,312,243,217,179,183,213,264
16,538,514,535,377,410,375,295,270,218,216,253,298
17,575,550,572,428,458,428,345,319,254,245,280,328
18,567,561,577,470,487,464,377,350,281,269,299,357
19,533,537,543,475,500,479,392,367,295,275,303,362
20,468,485,490,466,495,475,391,368,291,274,301,366
21,400,420,424,450,472,453,366,343,277,258,287,349
22,330,356,356,417,442,417,333,315,256,246,267,323
23,267,297,301,383,407,380,299,276,226,217,245,297
24,211,250,246,342,372,341,259,244,199,198,225,263
25,167,205,201,308,332,299,223,213,172,176,199,234
26,134,170,167,274,300,264,194,187,151,155,178,210
27,109,143,141,244,269,232,172,163,134,139,159,189
28,89,123,117,216,244,203,151,142,116,121,141,168
29,79,110,103,205,223,181,135,126,105,111,128,153
30,73,101,94,174,205,170,120,111,91,101,116,139
31,75,98,93,158,191,148,107,101,84,91,107,130
32,90,107,103,148,180,139,101,95,78,84,102,123
33,118,125,121,141,171,133,100,92,75,80,96,120
34,155,157,151,143,172,136,102,95,78,80,98,123
35,200,201,193,153,183,147,115,106,84,84,104,130
36,244,250,247,173,197,165,134,125,96,95,115,142
37,290,294,294,197,223,191,158,146,112,106,131,158
38,320,327,329,217,247,214,188,168,130,120,148,178
39,332,340,350,235,268,236,208,188,149,135,163,196
40,326,360,349,247,281,252,222,201,163,145,176,211
41,324,342,349,263,300,275,241,220,176,160,190,230
42,291,318,323,268,311,285,248,229,184,173,201,241
43,253,285,285,265,306,281,244,225,194,172,198,242
44,202,234,232,236,277,255,213,203,164,161,185,224
45,173,198,194,216,256,234,192,184,150,148,169,205
46,145,170,163,198,236,213,172,166,134,134,153,189
47,122,149,136,180,215,194,156,150,119,121,139,173
48,103,126,115,163,194,174,137,136,105,109,125,156
49,92,112,98,148,177,157,124,121,95,97,113,140
50,82,100,85,135,160,142,109,106,84,87,99,125
51,76,91,77,122,146,132,97,95,75,78,89,112
52,78,85,73,113,135,118,87,87,69,70,80,102
53,82,86,80,104,126,109,79,79,63,63,73,93
54,95,94,100,99,118,104,75,97,60,58,67,88
55,113,115,129,98,117,102,78,75,60,58,67,87
56,145,150,168,102,120,104,82,78,63,58,67,89
57,197,207,222,119,135,121,99,94,76,68,78,104
58,239,255,270,141,152,137,117,108,87,78,92,119
59,260,280,297,147,165,151,131,118,97,88,101,130
60,270,289,307,160,177,163,138,127,103,97,112,143
61,263,283,302,166,185,171,142,131,108,102,117,148
62,245,268,282,168,189,175,144,133,111,106,121,151
63,221,239,256,170,190,175,141,130,111,108,122,152
64,193,212,222,164,185,170,134,127,109,106,119,148
65,165,182,193,155,177,164,127,120,104,103,116,142
66,140,157,164,148,170,156,119,120,99,100,111,137
67,117,134,141,139,160,146,108,106,93,94,104,127
68,98,116,123,128,149,136,99,98,86,87,96,119
69,85,103,108,119,141,127,90,90,80,84,90,110
70,75,92,97,111,131,116,82,82,73,75,82,102
71,70,86,88,102,127,109,75,74,67,69,75,95
72,67,84,85,95,113,100,68,68,61,63,69,87
73,69,87,87,89,107,94,63,64,57,58,65,81
74,76,97,94,84,104,89,61,60,54,54,60,77
75,90,112,107,82,102,87,61,60,54,53,59,76
76,105,127,124,80,99,84,61,58,50,50,57,75
77,126,148,141,81,101,86,63,60,52,50,58,76
78,145,170,162,85,105,88,68,64,55,53,63,81
79,162,186,178,89,109,93,71,67,57,56,64,84
80,171,194,188,94,116,97,76,71,61,59,69,90
81,177,197,189,101,122,104,81,74,65,64,74,96
82,170,189,182,106,129,111,84,77,69,68,77,102
83,159,176,171,110,132,116,84,79,71,73,79,105
84,144,161,155,112,135,131,83,80,72,72,81,110
85,125,143,136,112,135,119,82,79,71,71,81,106
86,110,125,118,113,132,119,80,78,70,70,79,105
87,95,111,104,106,129,115,76,74,68,67,76,99
88,84,97,92,103,125,112,71,70,65,63,73,95
89,72,87,81,96,116,107,66,65,60,59,68,88
90,65,80,76,92,112,102,62,62,57,56,64,83
91,61,73,70,85,105,95,57,59,51,52,60,77
92,58,70,68,79,98,89,53,52,47,48,54,71
93,58,70,70,75,93,85,51,51,44,45,51,72
94,60,72,72,69,88,80,46,47,40,41,48,62
95,68,77,80,68,84,77,45,45,40,40,47,60
96,89,88,88,66,82,76,47,45,40,40,46,60
97,89,96,100,65,82,79,45,44,38,39,45,59
98,93,102,104,65,92,74,40,39,34,33,41,54
99,104,113,114,63,79,72,46,42,37,37,43,58
100,111,124,120,68,84,77,49,48,41,41,48,62
101,114,128,122,71,86,79,51,48,43,42,50,65
102,110,128,120,72,89,82,54,50,44,44,51,68
103,106,125,116,76,93,84,56,52,46,46,53,70
104,98,120,109,78,94,86,58,53,47,47,53,72
