Frame,wildtype,wildtype,wildtype,15040,15040,15040,20011,20011,20011
0,32,27,4,99,128,90,159,191,158
1,130,129,106,191,217,187,244,265,236
2,116,121,95,170,203,170,223,240,216
3,100,106,78,141,177,145,193,210,190
4,86,92,66,119,149,125,167,182,158
5,76,82,56,102,128,107,145,158,136
6,65,74,47,87,110,94,126,137,118
7,58,64,40,74,93,83,109,117,100
8,50,58,35,64,82,72,97,102,88
9,45,53,31,58,72,65,84,92,77
10,40,49,29,53,65,59,76,82,71
11,43,49,33,54,63,60,73,84,74
12,51,55,42,63,69,71,81,94,85
13,67,67,58,78,83,91,98,114,110
14,93,86,82,107,108,124,128,147,151
15,123,106,106,137,137,158,160,189,198
16,154,126,131,168,165,192,199,234,245
17,176,148,150,193,193,224,233,277,286
18,195,164,163,212,213,250,258,311,312
19,200,174,168,223,224,253,273,334,326
20,200,177,165,223,219,253,274,339,323
21,188,176,157,214,210,240,264,334,305
22,177,164,141,201,188,224,247,330,283
23,160,155,128,181,169,209,229,291,256
24,142,145,109,162,149,188,209,259,228
25,125,135,97,145,133,174,188,231,201
26,108,124,83,128,117,161,171,206,178
27,93,114,72,110,100,138,153,180,154
28,80,103,57,94,88,120,137,157,137
29,68,92,49,80,77,107,120,137,120
30,60,82,44,71,71,96,109,122,107
31,52,72,38,62,62,85,97,107,95
32,48,66,35,57,58,77,87,98,87
33,47,61,35,55,55,73,81,91,83
34,49,58,37,54,55,70,78,89,82
35,57,60,44,58,60,74,84,95,89
36,66,63,52,67,67,83,89,106,100
37,76,69,61,77,77,90,102,120,114
38,88,77,72,89,89,101,116,140,131
39,97,84,78,104,98,110,129,159,144
40,102,90,82,105,104,117,139,172,152
41,104,93,84,108,108,121,147,178,158
42,102,94,79,108,108,120,147,179,156
43,97,90,75,103,104,115,143,172,150
44,92,87,69,97,99,109,136,165,141
45,83,79,61,90,90,100,128,151,129
46,75,73,55,81,82,90,118,140,119
47,66,66,48,73,74,81,107,126,105
48,50,50,33,57,58,64,88,108,87
49,52,53,38,58,60,65,87,103,87
50,43,44,29,48,50,55,76,91,70
51,40,41,28,45,47,51,70,84,64
52,36,37,35,40,43,45,62,75,57
53,35,35,25,41,42,43,59,71,52
54,35,33,26,36,39,41,55,72,49
55,37,33,27,37,39,40,55,65,49
56,40,33,30,39,42,42,54,66,50
57,45,36,35,42,45,46,57,73,56
58,51,39,40,48,50,51,62,76,62
59,58,44,46,54,69,57,69,85,69
60,66,55,52,62,61,67,78,96,79
61,68,54,55,66,71,70,83,103,85
62,69,57,57,70,68,74,87,109,90
63,68,59,57,70,70,75,90,113,92
64,68,62,58,72,70,76,91,115,94
65,64,59,56,69,69,73,89,112,89
66,59,56,50,63,65,68,84,106,83
67,53,53,45,59,59,63,79,99,77
68,49,50,42,54,55,60,76,92,71
69,44,46,38,50,52,53,69,87,64
70,38,41,33,45,46,46,63,78,57
71,35,39,31,43,47,44,60,74,53
72,32,35,27,38,40,39,54,66,47
73,27,31,22,33,35,33,49,59,42
74,27,28,22,31,34,31,45,55,39
75,29,28,23,30,33,31,44,53,37
76,29,28,24,31,33,31,45,53,37
77,31,28,25,30,33,32,43,54,38
78,34,28,28,33,36,34,46,56,40
79,38,31,32,36,39,38,49,59,44
80,41,33,35,39,42,41,52,65,48
81,45,35,39,43,46,46,57,70,54
82,49,39,42,47,50,51,62,75,61
83,49,40,43,49,52,53,64,79,62
84,50,42,42,49,53,55,65,81,64
85,49,42,43,50,53,54,67,82,65
86,50,44,43,51,54,56,70,84,65
87,48,44,41,50,53,55,69,83,63
88,43,40,36,45,50,49,65,80,57
