Date	Strain	Period_Avg3
7/30/19	wildtype	21.56877164
7/30/19	wildtype	21.55095409
7/30/19	wildtype	21.42855409
7/30/19	wildtype	22.37786545
7/30/19	wildtype	21.43865965
7/30/19	wildtype	21.64661175
7/30/19	wildtype	22.02064559
7/30/19	wildtype	22.26058315
7/30/19	wildtype	22.44496853
7/30/19	wildtype	21.56877164
7/30/19	wildtype	21.76237305
7/30/19	wildtype	22.01516072
9/11/19	wildtype	21.64066737
9/11/19	wildtype	22.01182366
9/11/19	wildtype	21.42035271
9/11/19	wildtype	21.61476667
9/11/19	wildtype	21.33519403
9/11/19	wildtype	21.7460877
1/14/25	wildtype	23.25525325
1/14/25	wildtype	23.25525325
1/14/25	wildtype	23.19314245
1/14/25	wildtype	22.93307352
1/14/25	wildtype	22.42194559
1/14/25	wildtype	22.9270012
1/14/25	wildtype	22.14884546
1/14/25	wildtype	23.26964384
1/14/25	wildtype	23.38291577
1/14/25	wildtype	22.70333211
1/14/25	wildtype	22.39188315
1/14/25	wildtype	23.18265325
1/23/25	wildtype	23.39069118
1/23/25	wildtype	23.01160862
1/23/25	wildtype	22.66927273
1/23/25	wildtype	23.28179118
1/23/25	wildtype	23.01160862
1/23/25	wildtype	23.23150862
1/23/25	wildtype	22.8624691
1/23/25	wildtype	22.6466691
1/23/25	wildtype	22.16388548
1/23/25	wildtype	22.8624691
1/23/25	wildtype	22.61577198
1/23/25	wildtype	22.28064565
7/30/19	15040	22.2134007
7/30/19	15040	22.40516737
7/30/19	15040	22.39747241
9/11/19	15040	22.09945275
9/11/19	15040	22.07555423
9/11/19	15040	22.23613254
1/14/25	15040	22.51284848
1/14/25	15040	22.91323211
1/14/25	15040	22.9270012
1/14/25	15040	22.85501149
1/14/25	15040	22.77199878
1/14/25	15040	23.01810927
1/23/25	15040	22.62885
1/23/25	15040	23.0772
1/23/25	15040	22.62885
1/23/25	15040	22.77422273
1/23/25	15040	22.9734691
1/23/25	15040	23.10102273
7/30/19	20011	22.10019647
7/30/19	20011	22.35751938
7/30/19	20011	22.46373908
7/30/19	20011	22.07946122
7/30/19	20011	22.0336794
7/30/19	20011	22.26466122
9/11/19	20011	22.3112777
9/11/19	20011	22.33605275
9/11/19	20011	22.26342745
1/14/25	20011	22.22916314
1/14/25	20011	23.01810927
1/14/25	20011	23.1941135
1/14/25	20011	23.01810927
1/14/25	20011	22.46373908
1/14/25	20011	23.12414683
1/23/25	20011	22.52195
1/23/25	20011	22.61577198
1/23/25	20011	22.61577198
1/23/25	20011	22.84875
1/23/25	20011	22.62885
1/23/25	20011	22.83992198
