Date	Strain	Period_Avg3
1/14/25	wildtype	23.25525325
1/14/25	wildtype	23.25525325
1/14/25	wildtype	23.19314245
1/14/25	wildtype	22.93307352
1/14/25	wildtype	22.42194559
1/14/25	wildtype	22.9270012
1/14/25	wildtype	22.14884546
1/14/25	wildtype	23.26964384
1/14/25	wildtype	23.38291577
1/14/25	wildtype	22.70333211
1/14/25	wildtype	22.39188315
1/14/25	wildtype	23.18265325
1/23/25	wildtype	23.39069118
1/23/25	wildtype	23.01160862
1/23/25	wildtype	22.66927273
1/23/25	wildtype	23.28179118
1/23/25	wildtype	23.01160862
1/23/25	wildtype	23.23150862
1/23/25	wildtype	22.8624691
1/23/25	wildtype	22.6466691
1/23/25	wildtype	22.16388548
1/23/25	wildtype	22.8624691
1/23/25	wildtype	22.61577198
1/23/25	wildtype	22.28064565
1/14/25	16041	23.01399179
1/14/25	16041	23.16107143
1/14/25	16041	23.22009412
1/14/25	16041	23.15785846
1/14/25	16041	22.90925423
1/14/25	16041	23.06884483
1/14/25	16041	23.41198016
1/14/25	16041	22.90925423
1/14/25	16041	22.98185423
1/14/25	16041	22.99624483
1/14/25	16041	22.99624483
1/14/25	16041	23.15785846
1/23/25	16041	23.50169118
1/23/25	16041	23.12050862
1/23/25	16041	23.10102273
1/23/25	16041	23.56499458
1/23/25	16041	22.5417191
1/23/25	16041	22.49644565
1/23/25	16041	23.12050862
1/23/25	16041	23.42170714
1/23/25	16041	22.49644565
1/23/25	16041	22.8624691
1/23/25	16041	23.28179118
1/23/25	16041	23.14512907
1/14/25	18029	22.0459293
1/14/25	18029	22.65975373
1/14/25	18029	22.82421848
1/14/25	18029	22.65975373
1/14/25	18029	22.50149647
1/14/25	18029	22.66980575
1/14/25	18029	22.41646072
1/14/25	18029	22.66980575
1/14/25	18029	22.74107241
1/14/25	18029	22.58281515
1/14/25	18029	22.66596122
1/14/25	18029	22.83798757
1/23/25	18029	22.73775
1/23/25	18029	22.6466691
1/23/25	18029	22.72677198
1/23/25	18029	22.62885
1/23/25	18029	22.39997198
1/23/25	18029	22.52195
1/23/25	18029	22.37968548
1/23/25	18029	22.62885
1/23/25	18029	22.61577198
1/23/25	18029	22.52195
1/23/25	18029	22.50687198
1/23/25	18029	22.29502198
