TPs,16041_05g017a,16041_0g0a,18029_05g017a,18029_05g017a,18029_0g0a,18029_0g0a,wildtype_05g017a,wildtype_05g017a,wildtype_0g0a,wildtype_0g0a
0,12.72916667,3.395833333,12.79166667,10.04166667,3.25,2.895833333,25.58333333,8.020833333,6.208333333,6.416666667
1,14.6875,3.854166667,15.04166667,12.14583333,3.9375,3.458333333,26.85416667,10.08333333,5.458333333,5.979166667
2,15.39583333,3.291666667,16.77083333,13.16666667,3.0625,2.645833333,27.875,12.4375,5.229166667,5.104166667
3,18.41666667,3.916666667,20.79166667,16.25,3.604166667,3.145833333,27.64583333,12.5,5.604166667,4.854166667
4,19.72916667,3.625,22.14583333,17.8125,3.333333333,3.125,25.97916667,13.10416667,5.8125,5.291666667
5,23.54166667,3.645833333,24.10416667,19.54166667,3.3125,2.9375,25.3125,12.72916667,5.479166667,4.979166667
6,27.0625,3.6875,26,21.54166667,3.645833333,3.541666667,25.39583333,13.0625,5.583333333,5.6875
7,29.72916667,3.958333333,27.75,23.33333333,3.854166667,3.25,26.72916667,14.6875,5.583333333,5.375
8,34,4.520833333,30.75,26.39583333,4.270833333,4.166666667,31.5625,15.85416667,6.583333333,6.145833333
9,39.41666667,5.541666667,36.35416667,32.5625,5.854166667,5.875,43.4375,20.16666667,6.895833333,7.625
10,49.39583333,8.0625,46.45833333,43.10416667,8.166666667,8.520833333,66.375,29.39583333,7.208333333,9.1875
11,66.33333333,11.14583333,62.1875,59.91666667,9.625,11.5,105.1875,42.22916667,7.75,10.5
12,92.4375,12.375,88.60416667,84.95833333,11.9375,14.1875,160.875,62.22916667,7.8125,12.5625
13,127.1041667,13.47916667,121.8125,116.875,12.91666667,15.25,222.5208333,85.3125,7.895833333,14.79166667
14,168.875,16.4375,161.5208333,152.9791667,15.45833333,19.20833333,280.6458333,108.9166667,10.375,17.70833333
15,208.1041667,18.72916667,198.7708333,187.5208333,18.3125,20.875,322.3125,127.0416667,10.39583333,20.16666667
16,243.7916667,21.04166667,234.3333333,221.1458333,20.9375,24.29166667,349,137.6458333,11.6875,22.83333333
17,276.6458333,23.47916667,265.5208333,247.2291667,25.125,28.4375,351.9166667,134.5416667,12.22916667,23.47916667
18,300.7083333,25.70833333,289.9375,266.7083333,27.75,31.10416667,336.875,122.9583333,11.70833333,23.08333333
19,315.3333333,27.39583333,306.9166667,279.3958333,29.1875,32.4375,313.3541667,106.8541667,11.29166667,21.6875
20,322.0625,58.54166667,312.4791667,283.7083333,29.6875,32.89583333,270.7916667,88.0625,10.97916667,20.5625
21,321.25,28.22916667,307.3958333,280.6875,28.6875,30.875,215.2708333,69.52083333,10.5625,19.47916667
22,317.0625,27.25,297.3958333,273.1041667,27.39583333,29.54166667,176.6041667,57.70833333,10.45833333,17.4375
23,308.7916667,26.54166667,285.5416667,262.75,26.5625,28.5,153.2291667,51.97916667,10.33333333,16.91666667
24,296.1875,24.125,270.4583333,248.4791667,24.02083333,25.47916667,137.9375,47.875,8.9375,15.02083333
25,268.3958333,8.041666667,238.3125,222.7083333,8.416666667,11.125,118.4583333,32.8125,-5.8125,14.52083333
26,269.2708333,21.9375,234.6666667,222.0416667,20.27083333,21.5625,130.7916667,46.33333333,9.4375,13.54166667
27,252.9583333,20.27083333,218.125,212.5416667,20,20.33333333,133.2291667,48.0625,9.645833333,14.33333333
28,240.8125,18.66666667,202.375,203.9375,17.625,18.4375,139.0416667,48.54166667,8.5,12.79166667
29,229.75,17.70833333,192.8541667,198.4583333,16.77083333,17.25,149.5625,51.79166667,8.520833333,12.85416667
30,228.1666667,17.10416667,190.7291667,198.5,15.9375,16.64583333,165.5208333,57.375,9,14.10416667
31,231.8541667,17.125,195.125,206.875,16.41666667,16.91666667,190.5208333,65.97916667,10.8125,16.22916667
32,251.1041667,18.875,210.9166667,225.8958333,17.10416667,18.375,223.125,76.97916667,13.39583333,19
33,282.0416667,20.5,236.4166667,258.25,19.35416667,20.95833333,258.6041667,90.72916667,17.14583333,23.29166667
34,333.25,24.4375,275.2708333,304.7708333,24.83333333,27.20833333,299.8333333,106.0416667,18.85416667,28.16666667
35,396.4375,29.97916667,329.4166667,360.6458333,31.33333333,32.27083333,340.375,120.9791667,22.02083333,33.6875
36,472.4791667,34.89583333,394.3333333,420.4375,35.02083333,36.02083333,375.875,132.1666667,25.8125,39.58333333
37,544.625,36.625,457.5833333,479.7916667,38.14583333,40.91666667,398.3541667,136.9583333,28.33333333,44.35416667
38,609.8125,40.875,513.8333333,536.5208333,42.91666667,47.91666667,405.6458333,137.0208333,31.52083333,48.72916667
39,659.9791667,44.91666667,558.3333333,584.25,47.97916667,53.58333333,396.7083333,132.0625,31.375,50
40,683.7083333,50.91666667,585.2291667,620.2708333,52.41666667,59.54166667,370.7916667,122.0833333,30.70833333,48.54166667
41,684.5208333,55.47916667,591.7083333,641.25,56.64583333,63.27083333,330.7916667,108.6458333,29.14583333,44.02083333
42,670.2083333,58.60416667,582.2916667,651.2291667,59.58333333,65.5,287.5416667,95.16666667,25.1875,40.375
43,644.5833333,60.45833333,562.9583333,656.3125,61.08333333,67.10416667,248.3125,84.47916667,24.3125,37.9375
44,606.9583333,59.25,530.0625,653.1041667,58.75,63.33333333,214.8333333,74.3125,20.77083333,33.33333333
45,564.0416667,56.77083333,492.3333333,639.2708333,55.35416667,60.39583333,189.5208333,67.1875,19.08333333,30.3125
46,524.4375,54.22916667,454.7083333,630.2708333,52.5625,56.52083333,172.1666667,63.91666667,52.58333333,28.375
47,488.2083333,51.22916667,419.9375,617.4166667,48.91666667,52.95833333,161.3125,61.375,16.95833333,27.3125
48,456.6875,48.20833333,385.0625,592.25,45.97916667,50,154.0833333,59.91666667,15.45833333,24.91666667
49,432.7916667,45.0625,352.4166667,564.2083333,42.52083333,46.0625,150.2291667,58.95833333,14.52083333,23.4375
50,408.6875,43.16666667,323.125,533.875,40.25,42.95833333,151.0416667,59.02083333,15.16666667,22.14583333
51,395.2291667,39.41666667,299.7083333,512.5833333,37.97916667,40.125,153.7916667,62.04166667,13.3125,21.66666667
52,384.7291667,37.9375,286.5208333,538.75,35.75,38.16666667,161.6458333,64.83333333,14.64583333,21.4375
53,393.3333333,35.70833333,283.8333333,511.1041667,34.29166667,35.875,176.6458333,71,14.39583333,22.97916667
54,411.8333333,34.54166667,296.1041667,493.5833333,34.1875,35.08333333,199.875,79.625,16.5625,26.72916667
55,452.6041667,34.85416667,321.5625,490.25,34.625,50.875,231.4791667,91.1875,19.8125,32.54166667
56,504.6875,37.72916667,361.1875,517.75,38.625,40.25,267.0208333,103.4583333,24.10416667,40.95833333
57,577.7916667,42.875,413.8125,546.8333333,44.47916667,46.54166667,301.2916667,114.125,28.83333333,48.20833333
58,658.0833333,52.08333333,475.75,597.5833333,53.6875,56.72916667,329.7708333,123.0416667,35.08333333,56.3125
59,743.1666667,60.27083333,543.625,652.75,64.27083333,67.52083333,348,129.7708333,39.0625,63.875
60,814.9791667,68.29166667,605.1041667,687.625,72.72916667,76.16666667,356.125,131.875,42.75,70.0625
61,872.1875,74.83333333,659.625,719.3958333,81.64583333,83.625,349.9166667,128.5625,42.4375,71.89583333
62,906.1666667,84.72916667,708.0625,717.5,92.39583333,95.16666667,338.0208333,125.9166667,43.04166667,72.79166667
63,918.1875,93.58333333,730.1666667,691.2291667,102.25,105.5625,316.375,120.3958333,40.52083333,69.02083333
64,904.7083333,100.4583333,728.875,643.25,106.875,111,289.4583333,113.3541667,37.8125,64.0625
65,874.5625,103.6458333,706.5416667,589.4375,106.25,111.8541667,260.9375,106.7083333,34.10416667,59.47916667
66,828.8333333,100.7083333,664.6041667,530.8541667,99.60416667,106.3125,229.8125,98.3125,29.75,53.39583333
67,777.5625,96.5,612.5833333,474.1041667,93.20833333,100.2708333,208.5208333,93.27083333,27.125,49.375
68,720.1041667,88.125,555.1458333,420.0208333,84.66666667,91.14583333,189.6041667,88.60416667,24.8125,44.1875
69,672.5208333,79.97916667,505.6666667,372.125,76.4375,82.5,177.7083333,84.35416667,21.70833333,40.29166667
70,628.6875,73.375,462.9375,329.4583333,69.60416667,75.0625,170.75,81.72916667,19.91666667,36.5625
71,598.5208333,67,426.1041667,293.7291667,63.6875,68.66666667,166.875,81.27083333,19.39583333,33.72916667
72,567.4166667,61.16666667,394.8958333,263.7083333,57.58333333,62.02083333,167.6875,81.52083333,17.47916667,30.5625
73,542.2916667,54.3125,368.6875,236.8333333,53.14583333,55.39583333,176.0208333,84.70833333,14.64583333,27.77083333
74,524.0208333,52,352.375,217.5416667,49.66666667,51.64583333,193.25,91.0625,16.75,28.97916667
75,515.4166667,47.85416667,341.4583333,201.2708333,46.1875,47.16666667,216.1875,97.27083333,17.47916667,30.0625
76,527.0208333,45.10416667,339.8125,190.0208333,44.3125,44.70833333,248.25,105.3333333,19.54166667,33.27083333
77,559.3125,44.54166667,353.7083333,182.0625,44.20833333,44.97916667,285.6875,114.4791667,22.64583333,39.0625
78,621.1041667,45.625,386.9583333,179.375,47.25,48.3125,321.125,123.3958333,26.85416667,47.375
79,697.8125,49.10416667,435.6041667,178.3125,53.91666667,54.97916667,354.5416667,130.6875,32.14583333,56.95833333
80,788.7708333,56.58333333,502.1875,180.9375,64.1875,66.66666667,382.3958333,135.875,36.97916667,67.52083333
81,881.3125,67.77083333,576.0416667,183.5416667,75.60416667,80.20833333,401.6041667,137.4791667,40.47916667,76.45833333
82,965.7916667,78.29166667,650.2916667,185.6458333,89.14583333,94.625,411.6458333,137.75,43.4375,84.9375
83,1031.333333,90.125,714.8125,187.0208333,101.8541667,109.0416667,411.0208333,135.4583333,45.10416667,89.08333333
84,1073.0625,101.625,764.3125,187.5625,116.5208333,121.9375,400.4166667,131.75,45.70833333,90.02083333
85,1092.583333,111.875,792.2916667,184,126.875,133.0625,382.4375,126.1041667,43.72916667,86.375
86,1083.395833,120.4583333,799.75,178.3125,133.5208333,140.6666667,359.4375,121.3125,41.33333333,80.41666667
87,1044.8125,125.6666667,787.3333333,170.5833333,134.1666667,141.3125,334.6458333,115.3958333,38.04166667,73.85416667
88,992.625,123.9583333,753.9375,160.7916667,128.6666667,136.2916667,309.7083333,109.1458333,34.4375,66.52083333
89,927.9166667,117.6041667,700.0625,151.6875,119.8333333,127.4166667,287.2916667,104.0625,31.4375,60.5625
90,861.6458333,108.625,639.6666667,141.9583333,108.7916667,116.1666667,264.0833333,100.1458333,28.45833333,55.97916667
91,797.5208333,99.60416667,575.0833333,134.2083333,98.6875,104.875,245.5416667,95.5625,50.5,50.875
92,740.8333333,88.5,516.5,125.9583333,88.3125,93.66666667,231.5625,94.5,24.33333333,46.25
