TPs,16041_05g017a,16041_05g017a,16041_0g0a,16041_0g0a,18029_05g017a,18029_0g0a,wildtype_05g017a,wildtype_0g0a
0,13.70833333,9.291666667,3.041666667,3.729166667,7.958333333,2.916666667,7.354166667,6.145833333
1,17.1875,9.708333333,3.270833333,3.75,8.8125,4.479166667,9.291666667,5.875
2,17.625,9.666666667,2.375,3.104166667,9.229166667,2.208333333,11.70833333,4.979166667
3,19.125,10.625,2.8125,2.958333333,10.0625,2.354166667,14,5.5625
4,21.29166667,11.58333333,3.125,3.479166667,10.3125,2.854166667,16.72916667,5.3125
5,25.33333333,11.91666667,3.166666667,3.520833333,12,2.645833333,18.14583333,5.1875
6,29.41666667,12.8125,3.166666667,3.520833333,12.75,19.125,41.35416667,5.479166667
7,32.16666667,12.72916667,2.270833333,2.583333333,12.64583333,1.979166667,20,4.458333333
8,36.6875,14.875,2.5,2.833333333,15.60416667,2.666666667,24.5,5.4375
9,42.60416667,17.33333333,3.083333333,3.729166667,18.47916667,3.0625,32.85416667,6.854166667
10,52.0625,22.75,3.729166667,4.979166667,25.375,5.208333333,48.9375,8.958333333
11,68.16666667,31.125,5.416666667,6.458333333,37.20833333,7.4375,74.6875,11.58333333
12,92.02083333,45.45833333,7.4375,8.354166667,55.625,9.041666667,109.7708333,13.14583333
13,124.6041667,65.25,9.8125,9.833333333,80.4375,11.25,154.1666667,15.29166667
14,161.9791667,89.33333333,11.1875,11.08333333,107.9583333,11.66666667,198.8958333,18.14583333
15,199.4791667,112.8125,12.375,12.72916667,136.125,14.54166667,232.75,19.6875
16,235.3333333,134.2083333,14.83333333,13.66666667,159.875,17.04166667,252.125,21.3125
17,267.6875,153.9375,17.1875,15.25,181.5833333,20.4375,255.3125,23.8125
18,292.375,170.2291667,18.0625,17.35416667,195.1458333,23.02083333,248.7708333,22.58333333
19,311.1875,181.5416667,21.375,19.97916667,201.3333333,24.54166667,238.0625,22.02083333
20,320.5416667,185.8333333,23.1875,20.72916667,202.9583333,24.66666667,220,21.08333333
21,324.4791667,184.875,24.89583333,22.47916667,201.8333333,24.0625,194.7291667,19.66666667
22,324.0416667,178.25,24.70833333,22.0625,196.875,23.35416667,168.25,18.79166667
23,316.4375,169.8125,24.20833333,21.41666667,187.6666667,22.125,146.5208333,17.54166667
24,302.4791667,159.6458333,22.75,19.125,178.7291667,18.85416667,131.8541667,16.45833333
25,286.7291667,153,21.9375,19.83333333,169.5833333,18.70833333,124.3541667,15.54166667
26,271.2708333,146.625,20.4375,18.20833333,162.0208333,17.0625,117.75,14.60416667
27,259.4583333,141.75,19.02083333,17.70833333,155.0208333,16.02083333,113.2083333,14.10416667
28,247.25,136.4375,17.83333333,16.72916667,151,15.04166667,112.2083333,13.22916667
29,238.7916667,132.1458333,17.0625,15.875,148.125,14.41666667,116.5625,13.375
30,237.0833333,129.8333333,16.52083333,14.70833333,149.375,13.45833333,127.6666667,13.625
31,244.4583333,130.7708333,15.3125,14.9375,154.6666667,13.27083333,148.1875,15.14583333
32,262.4166667,139.8333333,15.1875,14.875,167.7708333,13.08333333,178.7916667,18.83333333
33,295.9375,158.7083333,15.27083333,15.27083333,194,15.66666667,213,23.54166667
34,343.4166667,189.0625,16.77083333,17.8125,233.1666667,19.3125,249.6041667,29.72916667
35,406.875,231.5,20.02083333,21.5,281.1875,24.8125,284.1041667,35.41666667
36,478.7708333,282.1875,25.125,25.875,333.0833333,28.91666667,310.4583333,42.83333333
37,547.0833333,335.4166667,28.75,27.9375,387.0208333,30.22916667,327.3333333,66.75
38,606.875,386.3333333,30.1875,30.22916667,435.4375,32.8125,333.2083333,56.5625
39,647.3125,426.3333333,30.5625,31.66666667,473.1041667,36.35416667,325.4166667,60.39583333
40,664.25,451.2083333,34.3125,36.20833333,493.9583333,41.27083333,308.0625,62.75
41,669.2083333,461.3333333,37.58333333,39.77083333,499.6458333,45.39583333,280.0416667,61.25
42,660.7916667,455.8541667,41.0625,43.16666667,490.9583333,49.72916667,246.9375,57.47916667
43,638.1458333,437.3333333,44.25,45.45833333,474.5625,52.02083333,214.5416667,52.8125
44,603.6666667,411.9791667,47.39583333,47.91666667,448.8541667,51.89583333,188.6666667,47.9375
45,564.0833333,382.7708333,48.85416667,48.33333333,416.3541667,50.89583333,168.0208333,43.25
46,525.75,355.8125,48.02083333,46.83333333,383.6666667,47.66666667,152.5416667,40.08333333
47,487.0416667,332.1875,46.54166667,44.52083333,354.6041667,45.04166667,140.5625,35.875
48,459.0833333,310.3333333,45.3125,43.14583333,328.3125,41.85416667,133.3958333,33.5
49,437.3541667,293.5,42.625,40.125,307.5416667,39.60416667,126.8333333,30.04166667
50,424.6458333,280.8541667,41.47916667,38.70833333,292.0833333,37.8125,126.3125,28.60416667
51,423.8541667,273.8125,39.83333333,37.02083333,281.1458333,36.125,130.0833333,26.89583333
52,420.6875,269.4791667,37.22916667,34.72916667,280.1875,34.14583333,138.0416667,25.39583333
53,436.125,280.9583333,35.79166667,33,289.6458333,31.79166667,154.2291667,26.02083333
54,450.8958333,301.0833333,34.70833333,32.39583333,314.9583333,30.8125,178.4791667,29.4375
55,492.7083333,341.5208333,34.16666667,32.33333333,356.4375,31.47916667,207.7916667,36.1875
56,539.25,395.4166667,34.58333333,33.77083333,413.3958333,34.25,238.6458333,45.25
57,611.6666667,464.8333333,37.375,36.625,484.3958333,39.4375,267,57.625
58,680.5,544.5208333,41.14583333,41.125,564.3333333,46.08333333,290.4791667,68.27083333
59,758.8958333,623.75,48.79166667,49.52083333,648.1458333,56.14583333,304.5416667,79.4375
60,827.0208333,694.7083333,53.5625,55.77083333,720.5,64.1875,309.4583333,88.41666667
61,893.4791667,747.0625,59.125,60.20833333,791.6458333,72.91666667,301.9166667,96.0625
62,936.0625,780.4583333,62.10416667,63.5,810.1041667,81.70833333,285.7916667,98.47916667
63,957.3125,788.9166667,66.45833333,69.54166667,819.3541667,90.125,264.4791667,95.58333333
64,952.3125,776.4166667,72.89583333,75.77083333,803.5416667,96.83333333,240.2291667,90.45833333
65,923.2083333,751.8958333,80.60416667,79.89583333,764.7708333,98.91666667,217.2916667,85.45833333
66,880.6041667,713.375,84.60416667,83.875,711.75,99.02083333,199,76.79166667
67,826.8541667,666.75,87.375,84.75,651.2916667,95.72916667,181.375,68.875
68,770.625,619.7083333,86.85416667,83.16666667,590.2708333,91.60416667,169.9166667,61.875
69,712.1666667,572.0208333,83.33333333,79.60416667,532.8541667,84.0625,160.1458333,55.1875
70,660.6666667,530.9791667,80.77083333,75.5,486.2291667,78.33333333,153.4583333,50.8125
71,617.9791667,497.7291667,76.875,71.4375,449.7708333,73.45833333,149.6875,46.14583333
72,577.625,472.3333333,72.85416667,67.16666667,422.7291667,67.89583333,153.5625,41.85416667
73,552.9791667,458.8333333,68.35416667,62.66666667,405.6875,62.22916667,161.0833333,38.85416667
74,540.1666667,451.0625,63.77083333,58.8125,400.4583333,57.75,174,35.9375
75,548.125,459.9791667,61.16666667,57.58333333,411.0208333,54.91666667,195.375,36.89583333
76,570.7916667,484.9791667,58.08333333,54.20833333,440.2083333,52.35416667,222.0416667,39.625
77,612.4375,533,54.41666667,51.72916667,489.8333333,51.08333333,253.375,44.97916667
78,675.2708333,605.3958333,53.70833333,50.22916667,563.6041667,52.25,287.4166667,53.6875
79,761.125,697.5625,52.91666667,51.04166667,653.9583333,56.79166667,315.3958333,64
80,861.5416667,809.1875,54.97916667,55.54166667,753.2708333,66.25,335.4166667,75.5
81,957.5,921.5,59.45833333,62.54166667,851.4583333,78.0625,344.1666667,85.45833333
82,1048.458333,1018.520833,69.39583333,74.52083333,939.1458333,94.45833333,344.75,98.04166667
83,1122.791667,1094.541667,80.625,85.54166667,1006.9375,107.6458333,333.625,106.1875
84,1164.895833,1133.729167,88.125,90.89583333,1046.166667,117.5833333,314.75,110.5833333
85,1160.416667,1122.354167,72.1875,80.10416667,1055.041667,128.3125,269.2291667,92.97916667
86,1166.125,1117.458333,93.14583333,103.5,1027.729167,136.6666667,261.3958333,106.6875
87,1129.875,1065.729167,121.9791667,111.0833333,974.4166667,142.5833333,233.8958333,99.79166667
88,1071.0625,1001.75,107.8541667,117.6041667,903.7916667,143.0416667,208.5416667,92.20833333
89,999.625,930.1458333,111.9375,121.2916667,823.8333333,138.7708333,186.5416667,84.04166667
90,922.1458333,858.6041667,113.8333333,121.3958333,745.6458333,128.5208333,169.9166667,76.66666667
91,848.25,790.0416667,112.0833333,119.6666667,676.2916667,119.7291667,158.6041667,69.22916667
92,787.25,734.3333333,107.4583333,113.2291667,616.375,107.8958333,150.1875,62.4375
93,735.3541667,686.8125,102.5833333,106.9791667,569.7291667,99.22916667,147.7291667,56.79166667
94,696.2916667,651.6875,96.14583333,99.89583333,534.4791667,89.39583333,147.0416667,51.85416667
95,661.9583333,626.7291667,89.72916667,92.5,513.9791667,80.66666667,151.8541667,48.27083333
96,645.3958333,621.5416667,84.83333333,86.29166667,510.9583333,74.16666667,160.9375,44.85416667
97,645.375,632,78.85416667,80.39583333,524.7916667,68.29166667,173.5,43.14583333
98,665.0625,667.4375,73.58333333,75.02083333,560.5208333,63.89583333,189.9166667,43.83333333
99,709.9375,728.2083333,69.35416667,70.60416667,622.9583333,61.89583333,208.7916667,46.8125
100,782.3333333,829.8541667,66.41666667,68.64583333,708.8125,63.60416667,226.5,53.3125
101,877.1666667,950.8958333,66.125,69.27083333,815.75,69.375,240.5208333,61.77083333
102,981.375,1094.541667,66.89583333,72.89583333,933.6875,78.4375,246.875,71.79166667
103,1092.104167,1230.125,71.02083333,78.54166667,1048.395833,94.625,243.1458333,81.9375
104,1186.208333,1352.458333,78.5,88.91666667,1151.520833,110.875,233.1666667,92.52083333
105,1253.166667,1433.333333,88.6875,101.875,1224.666667,129.1666667,217.7083333,100.625
106,1281.770833,1479.541667,99.4375,111.6041667,1265.291667,145.4166667,196.4791667,107.3333333
107,1272.875,1475.729167,105.0416667,119.4166667,1255.541667,185.9166667,174.2916667,109.875
108,1226.625,1424.395833,106.2291667,125.1458333,1204.708333,168.6666667,151.4583333,107.5
109,1151.291667,1333.833333,110.7916667,134.4583333,1115.958333,176.7708333,132.4583333,103.1666667
110,1063.8125,1218.645833,117.7291667,141.2083333,1006.104167,177.25,116.7291667,96.16666667
111,968.7083333,1099.958333,123.6041667,144.2083333,888.7083333,171.25,104.6875,88.22916667
112,878.4166667,991.6666667,125.5416667,146.5208333,782.625,161.2291667,97.0625,80.64583333
113,795.3333333,898.7291667,125.7083333,144.625,698.1875,149.0625,90.45833333,72.4375
114,721.3958333,816.75,122.0833333,137.1041667,630.9791667,135.1041667,86.4375,65.20833333
115,658.1041667,746.2916667,114,128.8541667,579.2916667,121.3333333,85.47916667,59.89583333
116,607.1875,692.4375,105.4166667,120.2916667,541.8333333,108.2083333,85.02083333,54.45833333
117,564.5208333,648.625,96.39583333,111.875,512.5416667,97.14583333,87.66666667,50.35416667
118,532.0625,621.3333333,88.375,101.9791667,492.3333333,88.8125,92.16666667,46.95833333
119,507.9791667,601.6041667,82.6875,95.39583333,480.8958333,79.95833333,98.70833333,45
120,493.8958333,600.0416667,75.83333333,88.4375,483.4375,74.4375,106.2708333,43.9375
121,489.625,608.5,70.47916667,82.77083333,495.8958333,72.0625,113.1875,43.875
