Date	Strain	Media_Type	Period_R
2/17/25	wildtype	05g017a	21.7173913
2/17/25	wildtype	05g017a	21.95604396
2/26/25	wildtype	05g017a	21.7173913
2/17/25	wildtype	0g0a	22.70454545
2/17/25	wildtype	0g0a	22.70454545
2/26/25	wildtype	0g0a	22.70454545
2/17/25	16041	05g017a	21.95604396
2/26/25	16041	05g017a	21.95604396
2/26/25	16041	05g017a	21.48387097
2/17/25	16041	0g0a	22.70454545
2/26/25	16041	0g0a	22.4494382
2/26/25	16041	0g0a	22.4494382
2/17/25	18029	05g017a	21.95604396
2/17/25	18029	05g017a	21.25531915
2/26/25	18029	05g017a	21.48387097
2/17/25	18029	0g0a	22.96551724
2/17/25	18029	0g0a	22.96551724
2/26/25	18029	0g0a	22.70454545
